
*** ChampSim Multicore Out-of-Order Simulator ***

Warmup Instructions: 1000000
Prefetch Warmup Instructions: 10000000
Simulation Instructions: 1000000
Number of CPUs: 1
LLC sets: 2048
LLC ways: 16
Off-chip DRAM Size: 4096 MB Channels: 1 Width: 64-bit Data Rate: 3200 MT/s

CPU 0 runs /Users/DHRUVA/Desktop/ML-DPC/ChampSimTraces/spec06/482.sphinx3-s2.trace.gz
Read seed: 1041
CPU 0 LLC from_file prefetcher

Warmup complete CPU 0 instructions: 1000004 cycles: 365952 (Simulation time: 0 hr 0 min 1 sec) 

Prefetch 8deda85d1241 for instr_id 1000043
Prefetch 8deda85d0241 for instr_id 1000044
Prefetch 8deda85c8441 for instr_id 1000175
Prefetch 8deda85cf281 for instr_id 1000200
Prefetch 8deda85d0301 for instr_id 1000209
Prefetch 26713c3bfa41 for instr_id 1000181
Prefetch 8deda85d1301 for instr_id 1000208
Prefetch 8deda85d1341 for instr_id 1000376
Prefetch 8deda85d0341 for instr_id 1000377
Prefetch 8deda85d1381 for instr_id 1000568
Prefetch 8deda85d0381 for instr_id 1000569
Prefetch ea2062ed381 for instr_id 1000696
Prefetch 8deda85cb341 for instr_id 1000841
Prefetch 8deda85c7b81 for instr_id 1000858
Prefetch 8deda85c7bc1 for instr_id 1000889
Prefetch 8deda85c8481 for instr_id 1001069
Prefetch 8deda85ce2c1 for instr_id 1001068
Prefetch 8deda85cf2c1 for instr_id 1001070
Prefetch 257ba86e7a81 for instr_id 1001072
Prefetch 8deda85d0b81 for instr_id 1001079
Prefetch 8deda85d1b81 for instr_id 1001078
Prefetch 8deda85d1bc1 for instr_id 1001222
Prefetch 8deda85d0bc1 for instr_id 1001223
Prefetch 8deda85d1c01 for instr_id 1001414
Prefetch 8deda85d0c01 for instr_id 1001415
Prefetch 8deda85ce301 for instr_id 1001569
Prefetch 8deda85cf301 for instr_id 1001571
Prefetch 26713c3bfa81 for instr_id 1001552
Prefetch 8deda85d0e81 for instr_id 1001580
Prefetch 8deda85d0ec1 for instr_id 1001688
Prefetch 8deda85d1e81 for instr_id 1001579
Prefetch 8deda85d1ec1 for instr_id 1001687
Prefetch 8deda85d1f01 for instr_id 1001879
Prefetch 8deda85d0f01 for instr_id 1001880
Prefetch d8de3c9b3b01 for instr_id 1002068
Prefetch 8deda85cb381 for instr_id 1002190
Prefetch 8deda85c7c01 for instr_id 1002207
Prefetch 8deda85c7c41 for instr_id 1002273
Prefetch 8deda85d2041 for instr_id 1002427
Prefetch 8deda85d2081 for instr_id 1002475
Prefetch 8deda85d3041 for instr_id 1002428
Prefetch 8deda85d3081 for instr_id 1002476
Prefetch 8deda85d20c1 for instr_id 1002667
Prefetch 8deda85d30c1 for instr_id 1002668
Prefetch 8deda85d2101 for instr_id 1002859
Prefetch 8deda85d3101 for instr_id 1002860
Prefetch 8deda85d2141 for instr_id 1003084
Prefetch 8deda85d3141 for instr_id 1003085
Prefetch 8deda85d2181 for instr_id 1003276
Prefetch 8deda85d3181 for instr_id 1003277
Prefetch 8deda85c84c1 for instr_id 1003516
Prefetch 8deda85cb3c1 for instr_id 1003532
Prefetch 8deda85c7c81 for instr_id 1003580
Prefetch 8deda85ce341 for instr_id 1003759
Prefetch 8deda85cf381 for instr_id 1003761
Prefetch 257ba86e7ac1 for instr_id 1003763
Prefetch 8deda85d3701 for instr_id 1003770
Prefetch 8deda85d3741 for instr_id 1003854
Prefetch 8deda85d2701 for instr_id 1003769
Prefetch 8deda85d2741 for instr_id 1003853
Prefetch 8deda85d2781 for instr_id 1004045
Prefetch 8deda85d3781 for instr_id 1004046
Prefetch 26713c3bfac1 for instr_id 1004243
Prefetch 8deda85ce381 for instr_id 1004260
Prefetch 8deda85d2981 for instr_id 1004270
Prefetch 8deda85d3981 for instr_id 1004271
Prefetch 8deda85d29c1 for instr_id 1004402
Prefetch 8deda85d39c1 for instr_id 1004403
Prefetch 8deda85d2a01 for instr_id 1004594
Prefetch 8deda85d3a01 for instr_id 1004595
Prefetch 8deda85cb401 for instr_id 1004874
Prefetch 8deda85c7cc1 for instr_id 1004891
Prefetch 8deda85c7d01 for instr_id 1004957
Prefetch 8deda85c8501 for instr_id 1005101
Prefetch 8deda85cf3c1 for instr_id 1005100
Prefetch 8deda85d2c01 for instr_id 1005108
Prefetch 8deda85d3c01 for instr_id 1005109
Prefetch 8deda85d2c41 for instr_id 1005288
Prefetch 8deda85d3c41 for instr_id 1005289
Prefetch 8deda85d2c81 for instr_id 1005480
Prefetch 8deda85d3c81 for instr_id 1005481
Prefetch 8deda85cb441 for instr_id 1005712
Prefetch 8deda85c7d41 for instr_id 1005760
Prefetch 8deda85ce3c1 for instr_id 1005939
Prefetch 257ba86e7b01 for instr_id 1005943
Prefetch 8deda85d2f01 for instr_id 1005949
Prefetch 8deda85d3f01 for instr_id 1005950
Prefetch 8deda85d2f41 for instr_id 1006093
Prefetch 8deda85d3f41 for instr_id 1006094
Prefetch 8deda85d2f81 for instr_id 1006285
Prefetch 8deda85d3f81 for instr_id 1006286
Prefetch 8deda85cf401 for instr_id 1006442
Prefetch 8deda85d4041 for instr_id 1006451
Prefetch 26713c3bfb01 for instr_id 1006423
Prefetch 8deda85d5041 for instr_id 1006450
Prefetch 8deda85d5081 for instr_id 1006618
Prefetch 8deda85d4081 for instr_id 1006619
Prefetch 8deda85d50c1 for instr_id 1006810
Prefetch 8deda85d40c1 for instr_id 1006811
Prefetch 8deda85cb481 for instr_id 1007053
Prefetch 8deda85c7d81 for instr_id 1007070
Prefetch 8deda85c7dc1 for instr_id 1007136
Prefetch 8deda85c8541 for instr_id 1007277
Prefetch 8deda85ce441 for instr_id 1007280
Prefetch 8deda85cf441 for instr_id 1007282
Prefetch 8deda85d4781 for instr_id 1007291
Prefetch 8deda85d5781 for instr_id 1007290
Prefetch 8deda85d57c1 for instr_id 1007410
Prefetch 8deda85d47c1 for instr_id 1007411
Prefetch 8deda85d5801 for instr_id 1007602
Prefetch 8deda85d4801 for instr_id 1007603
Prefetch 26713c3bfb41 for instr_id 1007764
Prefetch 8deda85d5841 for instr_id 1007827
Prefetch 8deda85d4841 for instr_id 1007828
Prefetch 8deda85d5881 for instr_id 1008019
Prefetch 8deda85d4881 for instr_id 1008020
Prefetch 8deda85d58c1 for instr_id 1008211
Prefetch 8deda85d48c1 for instr_id 1008212
Prefetch 98f5690f3f81 for instr_id 1008280
Prefetch 8deda85c8601 for instr_id 1008478
Prefetch 8ec426c6ec81 for instr_id 1008493
Prefetch 8deda85cb5c1 for instr_id 1008494
Prefetch 8deda85c7f41 for instr_id 1008511
Prefetch 8deda85c7f81 for instr_id 1008542
Prefetch 8deda85ce541 for instr_id 1008721
Prefetch 8deda85cf581 for instr_id 1008723
Prefetch 257ba86e7bc1 for instr_id 1008725
Prefetch 8deda85d6e01 for instr_id 1008732
Prefetch 8deda85d6e41 for instr_id 1008816
Prefetch 8deda85d7e01 for instr_id 1008731
Prefetch 8deda85d7e41 for instr_id 1008815
Prefetch 8deda85d7e81 for instr_id 1009007
Prefetch 8deda85d6e81 for instr_id 1009008
Prefetch 8deda85ce581 for instr_id 1009222
Prefetch 8deda85d7ec1 for instr_id 1009232
Prefetch 26713c3bfbc1 for instr_id 1009205
Prefetch 8deda85d6ec1 for instr_id 1009233
Prefetch 8deda85d7f01 for instr_id 1009424
Prefetch 8deda85d6f01 for instr_id 1009425
Prefetch 8deda85d7f41 for instr_id 1009616
Prefetch 8deda85d6f41 for instr_id 1009617
Prefetch d79e62ac9cc1 for instr_id 1009785
Prefetch 8deda85c8681 for instr_id 1009888
Prefetch 8ec426c6ecc1 for instr_id 1009903
Prefetch 8deda85cb6c1 for instr_id 1009904
Prefetch 8deda85d80c1 for instr_id 1009921
Prefetch 8deda85d8101 for instr_id 1009952
Prefetch 8deda85ce641 for instr_id 1010128
Prefetch 8deda85cf681 for instr_id 1010130
Prefetch 257ba86e7c41 for instr_id 1010132
Prefetch 8deda85da181 for instr_id 1010139
Prefetch 8deda85da1c1 for instr_id 1010223
Prefetch 8deda85d9181 for instr_id 1010138
Prefetch 8deda85d91c1 for instr_id 1010222
Prefetch 8deda85d9201 for instr_id 1010414
Prefetch 8deda85da201 for instr_id 1010415
Prefetch 8deda85c86c1 for instr_id 1010606
Prefetch 26713c3bfc41 for instr_id 1010612
Prefetch 8deda85cb701 for instr_id 1010742
Prefetch 8deda85d8141 for instr_id 1010759
Prefetch 8deda85d8181 for instr_id 1010825
Prefetch 8deda85ce681 for instr_id 1010966
Prefetch 8deda85d9481 for instr_id 1010976
Prefetch 8deda85d94c1 for instr_id 1011024
Prefetch 8deda85da481 for instr_id 1010977
Prefetch 8deda85da4c1 for instr_id 1011025
Prefetch 8deda85d9501 for instr_id 1011216
Prefetch 8deda85da501 for instr_id 1011217
Prefetch 8deda85d9541 for instr_id 1011408
Prefetch 8deda85da541 for instr_id 1011409
Prefetch 8deda85c8701 for instr_id 1011587
Prefetch 8deda85cb781 for instr_id 1011603
Prefetch 8deda85d8201 for instr_id 1011620
Prefetch 8deda85d8241 for instr_id 1011686
Prefetch 8deda85ce701 for instr_id 1011833
Prefetch 8deda85cf701 for instr_id 1011835
Prefetch 257ba86e7c81 for instr_id 1011837
Prefetch 8deda85dae41 for instr_id 1011844
Prefetch 8deda85dae81 for instr_id 1011892
Prefetch 8deda85d9e41 for instr_id 1011843
Prefetch 8deda85d9e81 for instr_id 1011891
Prefetch 8deda85d9ec1 for instr_id 1012083
Prefetch 8deda85daec1 for instr_id 1012084
Prefetch 8deda85d9f01 for instr_id 1012275
Prefetch 8deda85daf01 for instr_id 1012276
Prefetch 26713c3bfc81 for instr_id 1012317
Prefetch 8deda85d9f41 for instr_id 1012500
Prefetch 8deda85daf41 for instr_id 1012501
Prefetch 8deda85d9f81 for instr_id 1012692
Prefetch 8deda85daf81 for instr_id 1012693
Prefetch 8deda85cf741 for instr_id 1012844
Prefetch 8deda85dafc1 for instr_id 1012925
Prefetch 8deda85d9fc1 for instr_id 1012924
Prefetch 8deda85db001 for instr_id 1013116
Prefetch 8deda85dc001 for instr_id 1013117
